batch_size,system,system_label,timed_batches,timed_frames,total_latency_ms_per_frame,actual_batch_latency_ms,construction_applicable,construction_ms_per_frame,construction_percent,convolution_ms_per_frame,convolution_percent,elementwise_ms_per_frame,elementwise_percent,other_ms_per_frame,other_percent,fastest_competing_system,speedup_vs_fastest_competing,source
1,dense,Dense,1488,1488,2.79390189933,2.79390189933,false,0,0,2.36879241133,84.7843802927,0.131164147374,4.69465829868,0.293945340622,10.5209614086,,,logs/microbenchmarks/batch_cost_decomposition/3080-yolov8n-mot16-03-b148-v2-semantic/batch_cost_decomposition.csv
1,tile_skip,Tile skipping,1488,1488,3.44716197701,3.44716197701,false,0,0,3.06344549411,88.8686262655,0.156191377027,4.531013572,0.227525105868,6.60036016251,,,logs/microbenchmarks/batch_cost_decomposition/3080-yolov8n-mot16-03-b148-v2-semantic/batch_cost_decomposition.csv
1,gather_scatter,Gather-scatter,1488,1488,12.4945882963,12.4945882963,false,0,0,0.801519772674,6.4149354398,0.092911226808,0.743611750983,11.6001572968,92.8414528092,,,logs/microbenchmarks/batch_cost_decomposition/3080-yolov8n-mot16-03-b148-v2-semantic/batch_cost_decomposition.csv
1,wiseconv,WISEConv,1488,1488,1.54360064536,1.54360064536,true,0.0940265932624,6.09138079498,1.03631406832,67.1361515321,0.11050548426,7.15894260553,0.302754499518,19.6135250674,dense,1.80999010834,logs/microbenchmarks/batch_cost_decomposition/3080-yolov8n-mot16-03-b148-v2-semantic/batch_cost_decomposition.csv
4,dense,Dense,372,1488,1.83005342016,7.32021368063,false,0,0,1.61060934849,88.0088707112,0.14647018266,8.00360148218,0.0729738890054,3.98752780666,,,logs/microbenchmarks/batch_cost_decomposition/3080-yolov8n-mot16-03-b148-v2-semantic/batch_cost_decomposition.csv
4,tile_skip,Tile skipping,372,1488,1.66027406499,6.64109625996,false,0,0,1.40677682878,84.731602959,0.123617115071,7.44558489934,0.12988012114,7.82281214162,,,logs/microbenchmarks/batch_cost_decomposition/3080-yolov8n-mot16-03-b148-v2-semantic/batch_cost_decomposition.csv
4,gather_scatter,Gather-scatter,372,1488,6.40618193662,25.6247277465,false,0,0,0.604182330045,9.43123901291,0.0870773360247,1.35927041858,5.71492227055,89.2094905685,,,logs/microbenchmarks/batch_cost_decomposition/3080-yolov8n-mot16-03-b148-v2-semantic/batch_cost_decomposition.csv
4,wiseconv,WISEConv,372,1488,1.04571819594,4.18287278375,true,0.0325872706664,3.11625740023,0.799661676643,76.4700929705,0.0923415059421,8.83043886018,0.121127742687,11.5832107691,tile_skip,1.58768784118,logs/microbenchmarks/batch_cost_decomposition/3080-yolov8n-mot16-03-b148-v2-semantic/batch_cost_decomposition.csv
8,dense,Dense,186,1488,1.68479279549,13.4783423639,false,0,0,1.47021963903,87.2641219128,0.14959427715,8.87909050601,0.0649788793053,3.8567875812,,,logs/microbenchmarks/batch_cost_decomposition/3080-yolov8n-mot16-03-b148-v2-semantic/batch_cost_decomposition.csv
8,tile_skip,Tile skipping,186,1488,1.40634189306,11.2507351445,false,0,0,1.16739664153,83.009447937,0.117767119672,8.37400352312,0.121178131853,8.61654853992,,,logs/microbenchmarks/batch_cost_decomposition/3080-yolov8n-mot16-03-b148-v2-semantic/batch_cost_decomposition.csv
8,gather_scatter,Gather-scatter,186,1488,3.79758384664,30.3806707731,false,0,0,0.558183243942,14.6983784028,0.087261315505,2.29781142508,3.15213928719,83.0038101721,,,logs/microbenchmarks/batch_cost_decomposition/3080-yolov8n-mot16-03-b148-v2-semantic/batch_cost_decomposition.csv
8,wiseconv,WISEConv,186,1488,0.941244449346,7.52995559477,true,0.0205345323897,2.1816364924,0.718450738581,76.3298778633,0.0877654490468,9.32440548337,0.114493729329,12.164080161,tile_skip,1.49413034418,logs/microbenchmarks/batch_cost_decomposition/3080-yolov8n-mot16-03-b148-v2-semantic/batch_cost_decomposition.csv
