system,system_label,batch_size,rounds,timed_batches_per_round,timed_frames_per_round,robust_batch_gpu_ms,robust_amortized_gpu_ms_per_frame,robust_throughput_frames_per_second,cuda_graph,cuda_graph_count,max_activity_bucket_fallbacks,source,sequence,device,tf32,run_git_commit,per_frame_speedup_vs_batch1,fastest_competing_system,speedup_vs_fastest_competing,latency_reduction_vs_fastest_competing
dense,Dense,1,3,1488,1488,2.793901899328796,2.793901899328796,357.92237380998915,true,2,0,logs/yolov8_batch_sensitivity/3080-yolov8n-mot16-03-b1248-r3/latency_dense_batch1.npz,MOT16-03,NVIDIA GeForce RTX 3080,false,e59e7d50924250f3aaca348d44e4adfb52121153,1.0,,,
dense,Dense,2,3,744,1488,4.4891776461755075,2.2445888230877538,445.51589570171546,true,2,0,logs/yolov8_batch_sensitivity/3080-yolov8n-mot16-03-b1248-r3/latency_dense_batch2.npz,MOT16-03,NVIDIA GeForce RTX 3080,false,e59e7d50924250f3aaca348d44e4adfb52121153,1.2447277071821925,,,
dense,Dense,4,3,372,1488,7.320213680626244,1.830053420156561,546.4321363441129,true,2,0,logs/yolov8_batch_sensitivity/3080-yolov8n-mot16-03-b1248-r3/latency_dense_batch4.npz,MOT16-03,NVIDIA GeForce RTX 3080,false,e59e7d50924250f3aaca348d44e4adfb52121153,1.5266777835861085,,,
dense,Dense,8,3,186,1488,13.47834236391129,1.6847927954889113,593.5447983143881,true,2,0,logs/yolov8_batch_sensitivity/3080-yolov8n-mot16-03-b1248-r3/latency_dense_batch8.npz,MOT16-03,NVIDIA GeForce RTX 3080,false,e59e7d50924250f3aaca348d44e4adfb52121153,1.658305939347296,,,
tile_skip,Tile skipping,1,3,1488,1488,3.447161977009107,3.447161977009107,290.09370800371823,true,2,0,logs/yolov8_batch_sensitivity/3080-yolov8n-mot16-03-b1248-r3/latency_tile_skip_batch1.npz,MOT16-03,NVIDIA GeForce RTX 3080,false,e59e7d50924250f3aaca348d44e4adfb52121153,1.0,,,
tile_skip,Tile skipping,2,3,744,1488,4.420560856660207,2.2102804283301034,452.4312784851076,true,2,0,logs/yolov8_batch_sensitivity/3080-yolov8n-mot16-03-b1248-r3/latency_tile_skip_batch2.npz,MOT16-03,NVIDIA GeForce RTX 3080,false,e59e7d50924250f3aaca348d44e4adfb52121153,1.5596039004034814,,,
tile_skip,Tile skipping,4,3,372,1488,6.641096259958001,1.6602740649895003,602.3101975072556,true,2,0,logs/yolov8_batch_sensitivity/3080-yolov8n-mot16-03-b1248-r3/latency_tile_skip_batch4.npz,MOT16-03,NVIDIA GeForce RTX 3080,false,e59e7d50924250f3aaca348d44e4adfb52121153,2.076260811211857,,,
tile_skip,Tile skipping,8,3,186,1488,11.250735144461355,1.4063418930576694,711.0646457568006,true,2,0,logs/yolov8_batch_sensitivity/3080-yolov8n-mot16-03-b1248-r3/latency_tile_skip_batch8.npz,MOT16-03,NVIDIA GeForce RTX 3080,false,e59e7d50924250f3aaca348d44e4adfb52121153,2.451155010048293,,,
gather_scatter,Gather-scatter,1,3,1488,1488,12.494588296259604,12.494588296259604,80.03464990514024,false,0,0,logs/yolov8_batch_sensitivity/3080-yolov8n-mot16-03-b1248-r3/latency_gather_scatter_batch1.npz,MOT16-03,NVIDIA GeForce RTX 3080,false,e59e7d50924250f3aaca348d44e4adfb52121153,1.0,,,
gather_scatter,Gather-scatter,2,3,744,1488,16.83836592397382,8.41918296198691,118.77637111760806,false,0,0,logs/yolov8_batch_sensitivity/3080-yolov8n-mot16-03-b1248-r3/latency_gather_scatter_batch2.npz,MOT16-03,NVIDIA GeForce RTX 3080,false,e59e7d50924250f3aaca348d44e4adfb52121153,1.4840618564382528,,,
