platform,platform_label,platform_status,workload,workload_label,model_active_ratio,backend,backend_label,latency_ms,ideal_latency_ms,energy_j_per_frame,latency_source,ideal_source,active_ratio_source,energy_source
a100,NVIDIA A100,measured,fireflownet,FireFlowNet,0.249227525,dense,Dense,0.575824440,0.143524137,,logs/optical_flow/dense/a100-full-r3/summary.json,logs/optical_flow/dense/a100-full-r3/summary.json + logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,
a100,NVIDIA A100,measured,fireflownet,FireFlowNet,0.249227525,tile_skip,Tile skipping,0.676363870,0.143524137,,logs/optical_flow/tile_skip/a100-full-r3/summary.json,logs/optical_flow/dense/a100-full-r3/summary.json + logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,
a100,NVIDIA A100,measured,fireflownet,FireFlowNet,0.249227525,gather_scatter,Gather-scatter,2.465789350,0.143524137,,logs/optical_flow/gather_scatter/a100-full-r3/summary.json,logs/optical_flow/dense/a100-full-r3/summary.json + logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,
a100,NVIDIA A100,measured,fireflownet,FireFlowNet,0.249227525,wiseconv,WISEConv,0.438792126,0.143524137,,logs/optical_flow/wiseconv/a100-full-r3/summary.json,logs/optical_flow/dense/a100-full-r3/summary.json + logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,
a100,NVIDIA A100,measured,yolov8n,YOLOv8n,0.477779588,dense,Dense,2.776413172,1.326528542,,logs/yolov8_mot16/a100-yolov8n-full-r3/summary.json,logs/yolov8_mot16/a100-yolov8n-full-r3/summary.json + logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,
a100,NVIDIA A100,measured,yolov8n,YOLOv8n,0.477779588,tile_skip,Tile skipping,4.601209457,1.326528542,,logs/yolov8_mot16/a100-yolov8n-full-r3/summary.json,logs/yolov8_mot16/a100-yolov8n-full-r3/summary.json + logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,
a100,NVIDIA A100,measured,yolov8n,YOLOv8n,0.477779588,gather_scatter,Gather-scatter,11.908220220,1.326528542,,logs/yolov8_mot16/a100-yolov8n-full-r3/summary.json,logs/yolov8_mot16/a100-yolov8n-full-r3/summary.json + logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,
a100,NVIDIA A100,measured,yolov8n,YOLOv8n,0.477779588,wiseconv,WISEConv,1.726663696,1.326528542,,logs/yolov8_mot16/a100-yolov8n-full-r3/summary.json,logs/yolov8_mot16/a100-yolov8n-full-r3/summary.json + logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,
a100,NVIDIA A100,measured,yolov8m,YOLOv8m,0.493417637,dense,Dense,8.395490358,4.142445077,,logs/yolov8_mot16/a100-yolov8m-full-r3/summary.json,logs/yolov8_mot16/a100-yolov8m-full-r3/summary.json + logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,
a100,NVIDIA A100,measured,yolov8m,YOLOv8m,0.493417637,tile_skip,Tile skipping,17.692215783,4.142445077,,logs/yolov8_mot16/a100-yolov8m-full-r3/summary.json,logs/yolov8_mot16/a100-yolov8m-full-r3/summary.json + logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,
a100,NVIDIA A100,measured,yolov8m,YOLOv8m,0.493417637,gather_scatter,Gather-scatter,16.752253247,4.142445077,,logs/yolov8_mot16/a100-yolov8m-full-r3/summary.json,logs/yolov8_mot16/a100-yolov8m-full-r3/summary.json + logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,
a100,NVIDIA A100,measured,yolov8m,YOLOv8m,0.493417637,wiseconv,WISEConv,5.453984116,4.142445077,,logs/yolov8_mot16/a100-yolov8m-full-r3/summary.json,logs/yolov8_mot16/a100-yolov8m-full-r3/summary.json + logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,
a100,NVIDIA A100,measured,dynconv_pose,DynConv,0.155603885,dense,Dense,5.876659201,0.914431004,,logs/dynconv_pose/a100-full-s0125-r3/summary.json,logs/dynconv_pose/a100-full-s0125-r3/summary.json + logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,
a100,NVIDIA A100,measured,dynconv_pose,DynConv,0.155603885,tile_skip,Tile skipping,8.972851819,0.914431004,,logs/dynconv_pose/a100-full-s0125-r3/summary.json,logs/dynconv_pose/a100-full-s0125-r3/summary.json + logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,
a100,NVIDIA A100,measured,dynconv_pose,DynConv,0.155603885,gather_scatter,Gather-scatter,51.645828475,0.914431004,,logs/dynconv_pose/a100-full-s0125-r3/summary.json,logs/dynconv_pose/a100-full-s0125-r3/summary.json + logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,
a100,NVIDIA A100,measured,dynconv_pose,DynConv,0.155603885,wiseconv,WISEConv,3.604550045,0.914431004,,logs/dynconv_pose/a100-full-s0125-r3/summary.json,logs/dynconv_pose/a100-full-s0125-r3/summary.json + logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,
4090,RTX 4090,measured,fireflownet,FireFlowNet,0.249227525,dense,Dense,0.415366158,0.103537268,,logs/optical_flow/dense/4090-full-r3/summary.json,logs/optical_flow/dense/4090-full-r3/summary.json + logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,
