device,device_label,workload,workload_label,system,system_label,frames,latency_ms,useful_compute_ratio,raw_throughput_vs_dense,effective_throughput_vs_dense,wasted_throughput_vs_dense,source
rtx3080,RTX 3080,fireflownet,FireFlowNet,dense,Dense,196816,1.04335811467,0.263029964076,1,0.263029964076,0.736970035924,logs/effective_throughput/3080-streamk-v10-summary/summary.json
rtx3080,RTX 3080,fireflownet,FireFlowNet,tile_skip,Tile skipping,196816,0.605519470136,0.701374019958,0.615827680196,0.453221508068,0.162606172128,logs/effective_throughput/3080-streamk-v10-summary/summary.json
rtx3080,RTX 3080,fireflownet,FireFlowNet,gather_scatter,Gather-scatter,196816,2.05185401488,1,0.133749499443,0.133749499443,0,logs/effective_throughput/3080-streamk-v10-summary/summary.json
rtx3080,RTX 3080,fireflownet,FireFlowNet,wiseconv,WISEConv,196816,0.39817621847,0.989334988387,0.69141180827,0.689228624638,0.00218318363144,logs/effective_throughput/3080-streamk-v10-summary/summary.json
rtx3080,RTX 3080,yolov8n,YOLOv8n,dense,Dense,2572,2.78909559529,0.487011060944,1,0.487011060944,0.512988939056,logs/effective_throughput/3080-streamk-v10-summary/summary.json
rtx3080,RTX 3080,yolov8n,YOLOv8n,tile_skip,Tile skipping,2572,3.51652836018,0.730254194538,0.524029668864,0.386267439307,0.137762229557,logs/effective_throughput/3080-streamk-v10-summary/summary.json
rtx3080,RTX 3080,yolov8n,YOLOv8n,gather_scatter,Gather-scatter,2572,11.9688130862,1,0.113488312931,0.113488312931,0,logs/effective_throughput/3080-streamk-v10-summary/summary.json
rtx3080,RTX 3080,yolov8n,YOLOv8n,wiseconv,WISEConv,2572,1.63103061839,0.952937159154,0.871957050447,0.832798838737,0.0391582117095,logs/effective_throughput/3080-streamk-v10-summary/summary.json
rtx3080,RTX 3080,yolov8m,YOLOv8m,dense,Dense,2572,10.1778402432,0.504310192613,1,0.504310192613,0.495689807387,logs/effective_throughput/3080-streamk-v10-summary/summary.json
rtx3080,RTX 3080,yolov8m,YOLOv8m,tile_skip,Tile skipping,2572,15.4807705161,0.730100024682,0.451184327926,0.33155898591,0.119625342016,logs/effective_throughput/3080-streamk-v10-summary/summary.json
rtx3080,RTX 3080,yolov8m,YOLOv8m,gather_scatter,Gather-scatter,2572,16.565888967,1,0.309840817094,0.309840817094,0,logs/effective_throughput/3080-streamk-v10-summary/summary.json
rtx3080,RTX 3080,yolov8m,YOLOv8m,wiseconv,WISEConv,2572,6.49643826182,0.954529119889,0.826440860814,0.790092719511,0.0363481413027,logs/effective_throughput/3080-streamk-v10-summary/summary.json
rtx3080,RTX 3080,dynconv_pose,DynConv,dense,Dense,2958,5.98650168846,0.15560376893,1,0.15560376893,0.84439623107,logs/effective_throughput/3080-streamk-v10-summary/summary.json
rtx3080,RTX 3080,dynconv_pose,DynConv,tile_skip,Tile skipping,2958,6.91690464425,0.489017470338,0.274531461359,0.134673278488,0.139858182871,logs/effective_throughput/3080-streamk-v10-summary/summary.json
rtx3080,RTX 3080,dynconv_pose,DynConv,gather_scatter,Gather-scatter,2958,57.1336886741,1,0.0163042549334,0.0163042549334,0,logs/effective_throughput/3080-streamk-v10-summary/summary.json
rtx3080,RTX 3080,dynconv_pose,DynConv,wiseconv,WISEConv,2958,3.36249642214,0.900635313463,0.306669197527,0.277032926875,0.0296362706525,logs/effective_throughput/3080-streamk-v10-summary/summary.json
agx_orin,AGX Orin,fireflownet,FireFlowNet,dense,Dense,196816,12.4659483862,0.263029945517,1,0.263029945517,0.736970054483,logs/effective_throughput/agx-orin-v5/summary.json
agx_orin,AGX Orin,fireflownet,FireFlowNet,tile_skip,Tile skipping,196816,8.54891887054,0.701373176397,0.521156368144,0.383547647897,0.137608720248,logs/effective_throughput/agx-orin-v5/summary.json
agx_orin,AGX Orin,fireflownet,FireFlowNet,gather_scatter,Gather-scatter,196816,14.496563514,1,0.226185862717,0.226185862717,0,logs/effective_throughput/agx-orin-v5/summary.json
agx_orin,AGX Orin,fireflownet,FireFlowNet,wiseconv,WISEConv,196816,5.19601835695,0.989285769435,0.633050923632,0.631044291918,0.00200663171396,logs/effective_throughput/agx-orin-v5/summary.json
agx_orin,AGX Orin,yolov8n,YOLOv8n,dense,Dense,2572,25.0948085318,0.487217569462,1,0.487217569462,0.512782430538,logs/effective_throughput/agx-orin-v5/summary.json
agx_orin,AGX Orin,yolov8n,YOLOv8n,tile_skip,Tile skipping,2572,24.9922687784,0.730669077919,0.663414262638,0.489216554422,0.174197708216,logs/effective_throughput/agx-orin-v5/summary.json
agx_orin,AGX Orin,yolov8n,YOLOv8n,gather_scatter,Gather-scatter,2572,40.2390624247,1,0.303849813644,0.303849813644,0,logs/effective_throughput/agx-orin-v5/summary.json
agx_orin,AGX Orin,yolov8n,YOLOv8n,wiseconv,WISEConv,2572,17.0793297855,0.928069672118,0.769068837895,0.715873033221,0.0531958046747,logs/effective_throughput/agx-orin-v5/summary.json
agx_orin,AGX Orin,yolov8m,YOLOv8m,dense,Dense,2572,143.199248767,0.505122807491,1,0.505122807491,0.494877192509,logs/effective_throughput/agx-orin-v5/summary.json
agx_orin,AGX Orin,yolov8m,YOLOv8m,tile_skip,Tile skipping,2572,142.990773673,0.731358536051,0.687264122102,0.505859257277,0.181404864824,logs/effective_throughput/agx-orin-v5/summary.json
agx_orin,AGX Orin,yolov8m,YOLOv8m,gather_scatter,Gather-scatter,2572,132.934295387,1,0.544127505679,0.544127505679,0,logs/effective_throughput/agx-orin-v5/summary.json
agx_orin,AGX Orin,yolov8m,YOLOv8m,wiseconv,WISEConv,2572,91.3857026304,0.946160576214,0.834926046179,0.791515570663,0.043410475516,logs/effective_throughput/agx-orin-v5/summary.json
agx_orin,AGX Orin,dynconv_pose,DynConv,dense,Dense,2958,61.7198444033,0.15560938963,1,0.15560938963,0.84439061037,logs/effective_throughput/agx-orin-v5/summary.json
agx_orin,AGX Orin,dynconv_pose,DynConv,tile_skip,Tile skipping,2958,36.6398153845,0.489037168029,0.53432112753,0.262124337006,0.272196790525,logs/effective_throughput/agx-orin-v5/summary.json
agx_orin,AGX Orin,dynconv_pose,DynConv,gather_scatter,Gather-scatter,2958,193.517093336,1,0.0496296588074,0.0496296588074,0,logs/effective_throughput/agx-orin-v5/summary.json
agx_orin,AGX Orin,dynconv_pose,DynConv,wiseconv,WISEConv,2958,22.4942197084,0.723676682933,0.586233991523,0.42696245703,0.159271534494,logs/effective_throughput/agx-orin-v5/summary.json
